date,daily_pnl,holding_pnl,margin,market_value,realized_pnl,total_cash,total_value,transaction_cost
2016-02-01,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0
2016-02-02,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0
2016-02-03,0.0,0.0,327504.0,818760.0,0.0,626246.105,953750.105,0.0
2016-02-04,0.0,0.0,333312.0,833280.0,0.0,634958.105,968270.105,0.0
2016-02-05,0.0,0.0,331008.0,827520.0,0.0,631502.105,962510.105,0.0
2016-02-15,0.0,0.0,328584.0,821460.0,0.0,627866.105,956450.105,0.0
2016-02-16,0.0,0.0,337800.0,844500.0,0.0,641690.105,979490.105,0.0
2016-02-17,0.0,0.0,339480.0,848700.0,0.0,644210.105,983690.105,0.0
2016-02-18,0.0,0.0,340032.0,850080.0,0.0,645038.105,985070.105,0.0
2016-02-19,0.0,0.0,339288.0,848220.0,0.0,643922.105,983210.105,0.0
2016-02-22,0.0,0.0,344904.0,862260.0,0.0,652346.105,997250.105,0.0
2016-02-23,0.0,0.0,339792.0,849480.0,0.0,644678.105,984470.105,0.0
2016-02-24,0.0,0.0,340920.0,852300.0,0.0,646370.105,987290.105,0.0
2016-02-25,0.0,0.0,324504.0,811260.0,0.0,621746.105,946250.105,0.0
2016-02-26,0.0,0.0,326640.0,816600.0,0.0,624950.105,951590.105,0.0
2016-02-29,0.0,0.0,314256.0,785640.0,0.0,606374.105,920630.105,0.0
2016-03-01,0.0,0.0,325392.0,813480.0,0.0,623078.105,948470.105,0.0
2016-03-02,0.0,0.0,340152.0,850380.0,0.0,645218.105,985370.105,0.0
2016-03-03,0.0,0.0,340632.0,851580.0,0.0,645938.105,986570.105,0.0
2016-03-04,0.0,0.0,343752.0,859380.0,0.0,650618.105,994370.105,0.0
2016-03-07,0.0,0.0,348528.0,871320.0,0.0,657782.105,1006310.105,0.0
2016-03-08,0.0,0.0,347040.0,867600.0,0.0,655550.105,1002590.105,0.0
2016-03-09,0.0,0.0,342816.0,857040.0,0.0,649214.105,992030.105,0.0
2016-03-10,0.0,0.0,341952.0,854880.0,0.0,647918.105,989870.105,0.0
2016-03-11,0.0,0.0,339336.0,848340.0,0.0,643994.105,983330.105,0.0
2016-03-14,0.0,0.0,348504.0,871260.0,0.0,657746.105,1006250.105,0.0
2016-03-15,0.0,0.0,345192.0,862980.0,0.0,652778.105,997970.105,0.0
2016-03-16,0.0,0.0,346896.0,867240.0,0.0,655334.105,1002230.105,0.0
2016-03-17,0.0,0.0,356184.0,890460.0,0.0,669266.105,1025450.105,0.0
2016-03-18,0.0,0.0,366312.0,915780.0,0.0,684458.105,1050770.105,0.0
2016-03-21,0.0,0.0,376560.0,941400.0,0.0,699830.105,1076390.105,0.0
2016-03-22,0.0,0.0,375264.0,938160.0,0.0,697886.105,1073150.105,0.0
2016-03-23,0.0,0.0,373536.0,933840.0,0.0,695294.105,1068830.105,0.0
2016-03-24,0.0,0.0,368352.0,920880.0,0.0,687518.105,1055870.105,0.0
2016-03-25,0.0,0.0,368184.0,920460.0,0.0,687266.105,1055450.105,0.0
2016-03-28,0.0,0.0,366144.0,915360.0,0.0,684206.105,1050350.105,0.0
2016-03-29,0.0,0.0,360552.0,901380.0,0.0,675818.105,1036370.105,0.0
2016-03-30,0.0,0.0,370248.0,925620.0,0.0,690362.105,1060610.105,0.0
2016-03-31,0.0,0.0,370992.0,927480.0,0.0,691478.105,1062470.105,0.0
2016-04-01,0.0,0.0,370824.0,927060.0,0.0,691226.105,1062050.105,0.0
2016-04-05,0.0,0.0,377664.0,944160.0,0.0,701486.105,1079150.105,0.0
2016-04-06,0.0,0.0,376344.0,940860.0,0.0,699506.105,1075850.105,0.0
2016-04-07,0.0,0.0,373008.0,-932520.0,0.0,575255.83,948263.83,0.0
2016-04-08,0.0,0.0,367488.0,-918720.0,0.0,594575.83,962063.83,0.0
2016-04-11,0.0,0.0,376128.0,-940320.0,0.0,564335.83,940463.83,0.0
2016-04-12,0.0,0.0,373104.0,-932760.0,0.0,574919.83,948023.83,0.0
2016-04-13,0.0,0.0,382872.0,-957180.0,0.0,540731.83,923603.83,0.0
2016-04-14,0.0,0.0,382392.0,955980.0,0.0,462685.578,845077.578,0.0
2016-04-15,0.0,0.0,382368.0,955920.0,0.0,462649.578,845017.578,0.0
2016-04-18,0.0,0.0,377760.0,-944400.0,0.0,335708.347,713468.347,0.0
2016-04-19,0.0,0.0,377568.0,-943920.0,0.0,336380.347,713948.347,0.0
2016-04-20,0.0,0.0,367368.0,-918420.0,0.0,372080.347,739448.347,0.0
2016-04-21,0.0,0.0,371376.0,-928440.0,0.0,358052.347,729428.347,0.0
2016-04-22,0.0,0.0,371424.0,-928560.0,0.0,357884.347,729308.347,0.0
2016-04-25,0.0,0.0,369960.0,-924900.0,0.0,363008.347,732968.347,0.0
2016-04-26,0.0,0.0,370464.0,-926160.0,0.0,361244.347,731708.347,0.0
2016-04-27,0.0,0.0,370320.0,-925800.0,0.0,361748.347,732068.347,0.0
2016-04-28,0.0,0.0,369336.0,-923340.0,0.0,365192.347,734528.347,0.0
2016-04-29,0.0,0.0,370872.0,-927180.0,0.0,359816.347,730688.347,0.0
2016-05-03,0.0,0.0,377616.0,-944040.0,0.0,336212.347,713828.347,0.0
2016-05-04,0.0,0.0,377424.0,-943560.0,0.0,336884.347,714308.347,0.0
2016-05-05,0.0,0.0,377208.0,-943020.0,0.0,337640.347,714848.347,0.0
2016-05-06,0.0,0.0,368736.0,-921840.0,0.0,367292.347,736028.347,0.0
2016-05-09,0.0,0.0,359088.0,-897720.0,0.0,401060.347,760148.347,0.0
2016-05-10,0.0,0.0,359784.0,-899460.0,0.0,398624.347,758408.347,0.0
2016-05-11,0.0,0.0,361728.0,-904320.0,0.0,391820.347,753548.347,0.0
2016-05-12,0.0,0.0,363288.0,-908220.0,0.0,386360.347,749648.347,0.0
2016-05-13,0.0,0.0,362784.0,-906960.0,0.0,388124.347,750908.347,0.0
2016-05-16,0.0,0.0,364176.0,-910440.0,0.0,383252.347,747428.347,0.0
2016-05-17,0.0,0.0,365160.0,-912900.0,0.0,379808.347,744968.347,0.0
2016-05-18,0.0,0.0,361008.0,-902520.0,0.0,394340.347,755348.347,0.0
2016-05-19,0.0,0.0,362520.0,-906300.0,0.0,389048.347,751568.347,0.0
2016-05-20,0.0,0.0,364440.0,-911100.0,0.0,382328.347,746768.347,0.0
2016-05-23,0.0,0.0,365304.0,-913260.0,0.0,379304.347,744608.347,0.0
2016-05-24,0.0,0.0,362952.0,-907380.0,0.0,387536.347,750488.347,0.0
2016-05-25,0.0,0.0,362904.0,-907260.0,0.0,387704.347,750608.347,0.0
2016-05-26,0.0,0.0,362616.0,-906540.0,0.0,388712.347,751328.347,0.0
2016-05-27,0.0,0.0,363984.0,909960.0,0.0,312249.99,676233.99,0.0
2016-05-30,0.0,0.0,364296.0,910740.0,0.0,312717.99,677013.99,0.0
2016-05-31,0.0,0.0,377136.0,942840.0,0.0,331977.99,709113.99,0.0
2016-06-01,0.0,0.0,376296.0,940740.0,0.0,330717.99,707013.99,0.0
