alpha,-0.02
annualized_returns,-0.006
benchmark,000300.XSHG
benchmark_annualized_returns,-0.045660935822
benchmark_total_returns,-0.04529427168
beta,0.133
cash,-4342.107
commission_multiplier,1
downside_risk,0.127
end_date,2016-12-30
frequency,1d
frozen_cash,0.0
future_starting_cash,0
information_ratio,0.001
margin_multiplier,1
market_value,103740.0
matching_type,CURRENT_BAR_CLOSE
max_drawdown,0.069
pnl,-602.107
portfolio_value,99397.893
run_id,9997
run_type,BACKTEST
sharpe,-0.286
slippage,0.05
sortino,-0.232
start_date,2016-01-04
starting_cash,100000
stock_starting_cash,100000
strategy_file,/home/vinson/Downloads/InplusTrader-master/InplusTrader/stockBacktest/strategy/golden_cross.py
strategy_name,golden_cross
strategy_type,stock
total_returns,-0.006
tracking_error,0.2
transaction_cost,83.407
volatility,0.103