alpha,-1.023
annualized_returns,-0.644
benchmark_annualized_returns,-0.045
benchmark_total_returns,-0.045
beta,0.301
cash,35880.554
downside_risk,0.275
end_date,2016-12-30
future_starting_cash,0
information_ratio,-3.196
max_drawdown,0.653
run_type,BACKTEST
securities,[u'stock']
sharpe,-3.704
sortino,-3.67
start_date,2016-01-04
stock_starting_cash,100000
strategy_file,/home/vinson/PycharmProjects/InplusTrader_Linux/InplusTrader/stockBacktest/strategy/macd.py
strategy_name,macd
total_returns,-0.641
total_value,35880.554
tracking_error,0.3
unit_net_value,0.359
units,100000
volatility,0.272