alpha,-0.072
annualized_returns,-0.074
benchmark_annualized_returns,0.069
benchmark_total_returns,0.306
beta,0.293
cash,73654.974
downside_risk,0.174
end_date,2016-12-30
future_starting_cash,0
information_ratio,-0.666
max_drawdown,0.374
run_type,BACKTEST
securities,[u'stock']
sharpe,-0.522
sortino,-0.53
start_date,2013-01-04
stock_starting_cash,100000
strategy_file,/home/vinson/PycharmProjects/InplusTrader_Linux/InplusTrader/stockBacktest/strategy/turtle.py
strategy_name,turtle
total_returns,-0.263
total_value,73654.974
tracking_error,0.244
unit_net_value,0.737
units,100000
volatility,0.177